"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Bite Down","G","C","4967","4.18","972","5.57","6104","86.7%","60.2%","996","59.1%","1384","61.5%","2380","60.5%","3725","59.9%","0.6pp"
"Blanchwood Armor","G","U","2608","6.98","239","","267","15.6%","","55","","45","","100","","167","",""
"Broken Wings","G","C","7030","7.05","735","10.52","954","17.8%","60.2%","160","","207","","367","","587","59.3%",""
"Bushwhack","G","C","5503","4.88","887","6.89","5228","81.4%","60.4%","946","61.8%","1141","61.6%","2087","61.7%","3059","59.6%","2.1pp"
"Doubling Season","G","M","350","","55","","66","","","11","","15","","26","","40","",""
"Dwynen, Gilt-Leaf Daen","G","U","2097","4.83","224","","983","60.3%","60.1%","168","","235","","403","","585","57.4%",""
"Dwynen's Elite","G","C","6132","5.81","792","8.24","3622","62.8%","60.7%","641","58.0%","758","61.3%","1399","59.8%","2211","61.1%","-1.3pp"
"Elvish Archdruid","G","R","599","3.34","112","","596","74.0%","58.7%","99","","143","","242","","354","",""
"Garruk's Uprising","G","U","2085","5.11","279","","1004","49.7%","59.9%","174","","236","","410","","594","60.4%",""
"Genesis Wave","G","R","1022","5.55","125","","124","13.8%","","21","","21","","42","","83","",""
"Ghalta, Primal Hunger","G","R","472","","165","","1017","86.0%","58.0%","160","","207","","367","","648","56.3%",""
"Giant Growth","G","C","6681","6.78","742","9.92","2056","38.5%","61.1%","310","","441","","751","60.7%","1281","61.0%","-0.2pp"
"Gnarlid Colony","G","C","5996","5.59","787","8.04","4284","76.4%","59.9%","739","59.5%","970","61.0%","1709","60.4%","2574","59.5%","0.9pp"
"Grow from the Ashes","G","C","6504","6.60","600","10.14","1362","31.7%","55.9%","233","","340","","573","53.6%","788","57.5%","-3.9pp"
"Inspiring Call","G","U","2661","7.27","263","","210","11.4%","","27","","46","","73","","137","",""
"Llanowar Elves","G","C","3882","3.53","836","4.50","5353","89.4%","60.8%","956","67.7%","1140","60.3%","2096","63.6%","3245","59.0%","4.7pp"
"Mild-Mannered Librarian","G","U","1938","4.38","416","","2415","80.7%","61.0%","391","","562","63.5%","953","62.4%","1462","60.1%","2.4pp"
"Nessian Hornbeetle","G","U","1682","3.60","398","","2549","89.0%","61.0%","426","","563","60.2%","989","61.4%","1562","60.9%","0.5pp"
"Overrun","G","U","1896","4.77","347","","1802","70.2%","61.3%","289","","403","","692","63.7%","1112","59.6%","4.1pp"
"Reclamation Sage","G","U","2451","5.18","295","","829","38.0%","55.2%","116","","182","","298","","528","55.9%",""
"Scavenging Ooze","G","R","376","","190","","1147","84.7%","63.6%","230","","241","","471","","667","58.6%",""
"Snakeskin Veil","G","U","2113","4.62","361","","1934","75.9%","60.0%","303","","439","","742","60.4%","1175","59.6%","0.8pp"
"Vivien Reid","G","M","128","","71","","417","","","80","","90","","170","","247","",""
"Wary Thespian","G","C","6104","5.58","940","7.53","5133","76.3%","60.5%","897","63.2%","1148","59.1%","2045","60.9%","3078","60.3%","0.6pp"
"Wildwood Scourge","G","U","2095","4.74","224","","886","53.8%","60.9%","140","","195","","335","","554","61.9%",""
"Balmor, Battlemage Captain","UR","U","2093","5.46","394","","1502","53.0%","58.7%","232","","409","","641","59.6%","865","57.7%","1.9pp"
"Consuming Aberration","UB","R","695","3.80","163","","718","61.8%","57.7%","115","","210","","325","","397","",""
