"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Incinerating Blast","R","C","6903","7.00","943","10.05","2571","38.5%","59.9%","411","","575","61.7%","986","59.6%","1585","60.0%","-0.4pp"
"Kellan, Planar Trailblazer","R","R","436","","224","","1427","86.7%","61.1%","242","","304","","546","64.1%","881","59.3%","4.9pp"
"Rite of the Dragoncaller","R","M","338","","77","","223","42.6%","","45","","59","","104","","119","",""
"Searslicer Goblin","R","R","412","","223","","1413","88.1%","61.7%","252","","344","","596","64.4%","817","59.9%","4.6pp"
"Slumbering Cerberus","R","U","2130","4.76","455","","2526","77.7%","61.4%","444","","535","61.3%","979","62.5%","1547","60.8%","1.8pp"
"Sower of Chaos","R","C","7327","8.10","937","11.41","1484","21.9%","58.5%","266","","329","","595","57.8%","888","58.9%","-1.1pp"
"Strongbox Raider","R","U","2191","5.00","443","","2093","66.6%","62.1%","321","","477","","798","61.3%","1295","62.5%","-1.2pp"
"Twinflame Tyrant","R","M","143","","89","","586","94.4%","61.8%","103","","132","","235","","355","",""
"Ambush Wolf","G","C","6611","6.36","832","8.94","3446","58.1%","60.4%","585","61.0%","777","57.8%","1362","59.2%","2083","61.2%","-2.0pp"
"Apothecary Stomper","G","C","6841","7.10","747","10.65","1501","27.8%","59.5%","226","","358","","584","59.8%","916","59.3%","0.5pp"
"Beast-Kin Ranger","G","C","6072","5.57","909","7.60","5123","77.0%","61.0%","902","63.0%","1117","60.3%","2019","61.5%","3098","60.6%","0.9pp"
"Cackling Prowler","G","C","6463","6.34","708","9.43","2455","48.5%","59.8%","386","","578","57.6%","964","57.8%","1489","61.1%","-3.3pp"
"Eager Trufflesnout","G","U","2047","4.37","360","","2141","83.7%","60.8%","378","","494","","872","61.6%","1268","60.1%","1.5pp"
"Elfsworn Giant","G","C","6410","6.37","712","9.69","2425","47.5%","59.5%","397","","594","59.9%","991","57.3%","1441","60.8%","-3.5pp"
"Elvish Regrower","G","U","1536","3.26","412","","2595","87.2%","59.6%","432","","587","65.1%","1019","61.3%","1570","58.3%","3.1pp"
"Felling Blow","G","U","1477","3.33","392","","2476","88.8%","61.6%","377","","605","63.0%","982","62.2%","1494","61.1%","1.1pp"
"Loot, Exuberant Explorer","G","R","441","","151","","922","85.0%","62.8%","135","","222","","357","","564","60.6%",""
"Mossborn Hydra","G","R","441","","148","","957","89.6%","58.1%","153","","216","","369","","586","56.5%",""
"Needletooth Pack","G","U","1969","4.68","311","","1625","72.2%","58.8%","249","","381","","630","56.5%","998","60.3%","-3.8pp"
"Preposterous Proportions","G","R","893","4.81","138","","320","32.3%","","52","","66","","118","","202","",""
"Quakestrider Ceratops","G","U","2465","6.29","280","","478","23.8%","","75","","105","","180","","299","",""
"Quilled Greatwurm","G","M","158","","87","","572","89.2%","61.2%","104","","149","","253","","321","",""
"Spinner of Souls","G","R","341","","216","","1388","89.9%","63.3%","235","","290","","525","69.3%","866","59.8%","9.5pp"
"Sylvan Scavenging","G","R","320","","150","","905","84.7%","61.3%","145","","220","","365","","540","58.1%",""
"Treetop Snarespinner","G","C","5619","5.09","811","7.16","4234","72.0%","60.6%","697","60.5%","1005","61.8%","1702","61.3%","2535","59.9%","1.4pp"
"Alesha, Who Laughs at Fate","BR","R","399","","237","","1426","82.8%","62.3%","259","","332","","591","68.0%","838","58.2%","9.8pp"
"Anthem of Champions","WG","R","641","3.54","150","","656","60.0%","60.7%","120","","139","","259","","397","",""
"Ashroot Animist","RG","R","541","3.39","176","","855","66.5%","61.1%","149","","199","","348","","515","56.3%",""
"Dreadwing Scavenger","UB","U","1595","3.77","565","4.07","3224","80.3%","61.1%","524","66.8%","978","66.1%","1502","66.3%","1716","56.6%","9.7pp"
"Elenda, Saint of Dusk","WB","R","373","","227","","1387","87.1%","59.3%","232","","338","","570","65.6%","811","54.9%","10.7pp"
"Fiendish Panda","WB","U","1644","4.13","383","","1961","73.7%","59.2%","315","","500","61.6%","815","61.8%","1153","57.2%","4.6pp"
"Koma, World-Eater","UG","R","481","","164","","813","68.8%","57.4%","150","","214","","364","","441","",""
"Kykar, Zephyr Awakener","WU","R","457","","205","","1206","82.0%","60.9%","201","","334","","535","65.0%","674","57.6%","7.5pp"
"Niv-Mizzet, Visionary","UR","M","366","","77","","191","32.8%","","22","","48","","70","","121","",""
"Perforating Artist","BR","U","1820","4.70","468","","2218","66.5%","62.1%","372","","504","64.3%","876","64.5%","1342","60.6%","3.9pp"
"Wardens of the Cycle","BG","U","2192","5.36","320","","1071","47.5%","59.9%","173","","272","","445","","626","58.6%",""
"Zimone, Paradox Sculptor","UG","M","154","","86","","542","88.0%","62.4%","88","","128","","216","","326","",""
"Banner of Kinship","","R","970","4.70","138","","223","22.6%","","43","","44","","87","","136","",""
"Fishing Pole","","U","3006","8.09","351","","88","3.5%","","13","","21","","34","","54","",""
"Leyline Axe","","R","332","","244","","1643","94.1%","62.8%","288","","390","","678","64.3%","963","61.8%","2.5pp"
"Quick-Draw Katana","","C","7319","7.89","717","11.59","724","14.2%","59.1%","136","","155","","291","","433","",""
"Ravenous Amulet","","U","2770","6.76","450","","1045","32.7%","61.1%","162","","253","","415","","630","60.8%",""
"Scrawling Crawler","","R","407","","234","","1604","97.7%","60.9%","294","","385","","679","62.4%","928","60.0%","2.4pp"
"Soulstone Sanctuary","","R","758","3.69","164","","884","77.3%","59.0%","161","","196","","357","","529","56.1%",""
"Ajani, Caller of the Pride","W","M","131","","77","","448","84.1%","","90","","96","","186","","262","",""
"Ajani's Pridemate","W","U","1346","3.08","377","","2331","87.0%","63.1%","415","","535","63.4%","950","63.6%","1376","62.9%","0.7pp"
"Angel of Finality","W","U","1716","3.80","332","","1866","78.5%","62.0%","288","","529","61.8%","817","62.7%","1066","61.4%","1.3pp"
"Authority of the Consuls","W","R","723","3.88","80","","149","26.0%","","21","","33","","54","","94","",""
"Banishing Light","W","C","3264","2.91","1018","3.65","6471","89.9%","61.4%","1046","60.2%","1592","63.6%","2638","62.3%","3826","60.8%","1.5pp"
"Cathar Commando","W","C","5732","4.89","989","6.98","5299","76.0%","62.2%","859","62.4%","1295","62.1%","2154","62.2%","3144","62.2%","0.0pp"
"Day of Judgment","W","R","365","","150","","807","77.0%","63.3%","113","","214","","327","","476","",""
"Giada, Font of Hope","W","R","315","","162","","1038","91.1%","63.0%","175","","259","","434","","605","62.0%",""
"Healer's Hawk","W","C","4067","3.44","1080","4.38","6704","89.0%","62.2%","1202","65.0%","1562","63.6%","2764","64.2%","3910","60.8%","3.4pp"
"Make Your Move","W","C","6158","5.35","815","8.21","3120","54.6%","61.6%","540","59.1%","778","63.2%","1318","61.5%","1803","61.5%","0.0pp"
"Mischievous Pup","W","U","2409","5.53","365","","1398","54.5%","58.5%","256","","333","","589","56.0%","810","60.4%","-4.3pp"
"Resolute Reinforcements","W","U","1908","4.21","395","","2299","81.4%","60.4%","387","","514","62.6%","901","61.0%","1387","60.1%","1.0pp"
"Savannah Lions","W","U","2396","5.60","277","","907","45.5%","61.2%","168","","194","","362","","544","63.4%",""
"Serra Angel","W","U","1610","3.34","306","","1812","83.9%","62.5%","282","","469","","751","64.2%","1067","61.2%","3.0pp"
"Stroke of Midnight","W","U","2153","5.12","186","","372","28.9%","","55","","90","","145","","228","",""
"Youthful Valkyrie","W","U","1599","3.62","325","","1850","81.4%","61.1%","324","","440","","764","64.4%","1080","58.6%","5.8pp"
"Aegis Turtle","U","C","7247","8.22","910","11.82","796","12.1%","56.8%","136","","225","","361","","434","",""
"Aetherize","U","U","2392","5.67","280","","666","33.6%","58.4%","101","","187","","288","","377","",""
"Brineborn Cutthroat","U","U","2054","4.45","428","","2452","80.3%","57.5%","407","","675","54.4%","1082","56.5%","1367","58.0%","-1.5pp"
"Essence Scatter","U","U","1551","3.54","460","","2936","89.8%","61.9%","486","","802","64.5%","1288","65.5%","1645","59.1%","6.4pp"
"Extravagant Replication","U","R","692","3.79","164","","775","67.9%","58.6%","115","","221","","336","","436","",""
"Fleeting Distraction","U","C","6390","5.68","1202","7.68","6396","74.8%","59.1%","1102","56.4%","1651","61.0%","2753","59.2%","3379","58.7%","0.4pp"
"Imprisoned in the Moon","U","U","2415","5.83","260","","630","33.7%","56.7%","94","","190","","284","","348","",""
"Lightshell Duo","U","C","6709","6.76","1093","9.29","3518","45.3%","59.2%","560","60.4%","991","60.8%","1551","60.7%","1972","57.9%","2.8pp"
"Micromancer","U","U","1819","4.17","559","4.63","2843","71.3%","60.7%","470","","820","64.8%","1290","63.4%","1548","58.4%","5.0pp"
"Mocking Sprite","U","C","6785","6.79","733","10.41","1421","27.5%","59.5%","248","","388","","636","59.0%","777","60.1%","-1.1pp"
"An Offer You Can't Refuse","U","U","2917","7.51","314","","72","3.2%","","10","","24","","34","","37","",""
"Omniscience","U","M","510","5.58","71","","0","","","0","","0","","0","","0","",""
"Run Away Together","U","C","6937","7.03","940","10.03","2514","37.6%","59.7%","451","","703","62.2%","1154","60.6%","1352","58.8%","1.8pp"
