09fcbdf,Jackson Lipfert,2026-03-30,Get treatment draft ids
3dd9395,Jackson Lipfert,2026-03-30,outline
216ccbd,Jackson Lipfert,2026-03-30,Add treatment assignment
100ff16,Jackson Lipfert,2026-03-30,clean up apply
e19e45c,Jackson Lipfert,2026-03-30,saving
c28820a,Jackson Lipfert,2026-03-30,Merge branch 'matching' of https://github.com/IndigoKhanna/Draft-Decisions-Casual-Inference into matching
6cdd99c,Jackson Lipfert,2026-03-30,Get ALSA for each pack in the draft_df
71c4f2c,Indigo Khanna,2026-03-29,Re adding stuff from merge nightmare
aeb3bf0,Indigo Khanna,2026-03-29,Merge branch 'matching' of https://github.com/IndigoKhanna/Draft-Decisions-Casual-Inference into matching
cb6437b,Indigo Khanna,2026-03-28,Started formatting the color strength stuff in Matching
8b26c6c,Jackson Lipfert,2026-03-27,Saving, currently stuck thinking about next steps
289d95a,Jackson Lipfert,2026-03-27,Group by color and take mean ALSA
c08700a,Jackson Lipfert,2026-03-25,Get ALSA and Color for cards in pack
cad9746,Jackson Lipfert,2026-03-25,Write get_cards_in_pack function
86dd680,Jackson Lipfert,2026-03-25,Merge ALSA into card data
84cf1e7,Jackson Lipfert,2026-03-25,add data from inputs
e0c626c,Indigo Khanna,2026-03-25,Added the ALSA output as a csv
af5728c,Jackson Lipfert,2026-03-25,Add ALSA export to CSV
8c73299,Jackson Lipfert,2026-03-25,Merge branch 'main' into matching
5ef99de,Indigo Khanna,2026-03-24,Alsa update
11a3df5,Indigo Khanna,2026-03-24,Clarified Alsa reasoning in comments
00248cf,Indigo Khanna,2026-03-24,Added ALSA calculation
1e69a58,Indigo Khanna,2026-03-24,Alsa Calculating
1c5b47f,Indigo Khanna,2026-03-24,Added the 17lands calculated ALSAs
ed24c05,Jackson Lipfert,2026-03-24,create matching branch
58b9e4e,Indigo Khanna,2026-03-18,Edited Proposal
694eca3,Jackson Lipfert,2026-03-18,Add final draft for project proposal
5951e1b,Indigo Khanna,2026-03-18,Updated Proposal
ffab221,Indigo Khanna,2026-03-18,Updated Proposal
24632e7,Indigo Khanna,2026-03-16,Updated Proposal
8a00b16,Indigo Khanna,2026-03-16,Update proposal again
1233a73,Indigo Khanna,2026-03-16,Updated Proposal
82add4b,Jackson Lipfert,2026-03-14,save
3831cf8,Jackson Lipfert,2026-03-14,Add another paper
b398bee,Jackson Lipfert,2026-03-14,Add paper to bibliography
c0444b6,Jackson Lipfert,2026-03-14,add 3 citations
042fd4b,Jackson Lipfert,2026-03-14,needs analysis first draft
3636bca,Jackson Lipfert,2026-03-14,problem statement first draft
d1fe849,Jackson Lipfert,2026-03-14,start proposal
6a28608,Jackson Lipfert,2026-03-05,Merge pull request #1 from IndigoKhanna/import_data
d005d1b,Jackson Lipfert,2026-03-05,create fdn_small.csv
9aaa91d,Jackson Lipfert,2026-03-05,create import and clean file
87420de,Jackson Lipfert,2026-03-04,Merge branch 'main' of https://github.com/IndigoKhanna/Draft-Decisions-Casual-Inference
7f2a211,Jackson Lipfert,2026-03-04,add more todos
6c9cf59,Indigo Khanna,2026-03-04,Added foundations reasoning to readme
ce655f9,Jackson Lipfert,2026-03-04,Merge branch 'main' of https://github.com/IndigoKhanna/Draft-Decisions-Casual-Inference
1491b07,Jackson Lipfert,2026-03-04,add more todos
8bdc65a,Jackson Lipfert,2026-03-04,add todos
ccd16d9,Indigo Khanna,2026-03-04,Added proposal format
c19749a,Indigo Khanna,2026-03-04,Merge branch 'main' of https://github.com/IndigoKhanna/Draft-Decisions-Casual-Inference
5e8d4e7,Indigo Khanna,2026-03-04,Added Proposal File
b77e493,Jackson Lipfert,2026-03-04,save
ae87450,Jackson Lipfert,2026-03-04,create Data_Processing file
b9bbdad,Indigo Khanna,2026-03-04,Initial commit
