,pack,pick,treatment_wins,control_wins,treatment_ci,control_ci,treatment_n,control_n,p_value,total_pick,sig
0,0.0,4.0,3.706896551724138,3.4482758620689653,0.3471013401842843,0.330717779759968,174.0,174.0,0.2911173524331361,4.0,False
1,0.0,5.0,3.6526315789473682,5.105263157894737,0.46077629766221584,0.42655349572754947,95.0,95.0,1.026867009805346e-05,5.0,True
2,0.0,6.0,3.4782608695652173,3.953416149068323,0.255494104367769,0.24509630988670958,322.0,322.0,0.008731663237213992,6.0,True
3,0.0,7.0,3.860082304526749,4.037037037037037,0.20634503324106326,0.20471339338359873,486.0,486.0,0.23306880525120863,7.0,False
4,0.0,8.0,3.776081424936387,3.8346055979643765,0.23991777970799302,0.21140535310845174,393.0,393.0,0.7199022303589038,8.0,False
5,0.0,9.0,3.324590163934426,3.3049180327868855,0.2612151943985894,0.2624634388509678,305.0,305.0,0.9171042271987935,9.0,False
6,0.0,10.0,3.593886462882096,3.336244541484716,0.29405773485397746,0.28848495468041485,229.0,229.0,0.22088502596662224,10.0,False
7,0.0,11.0,3.5706214689265536,2.3559322033898304,0.3399914439815803,0.2867068234721807,177.0,177.0,1.5619475653990665e-07,11.0,True
8,0.0,12.0,3.8620689655172415,4.844827586206897,0.41351924970982545,0.4147062338623338,116.0,116.0,0.001163007248740193,12.0,True
9,1.0,3.0,3.823529411764706,3.1176470588235294,0.5062574077091991,0.46785362314235407,85.0,85.0,0.046348078937965706,16.0,True
10,1.0,4.0,2.5416666666666665,4.958333333333333,0.7270666862011868,0.4789268145758877,24.0,24.0,1.9781546193766254e-06,17.0,True
11,1.0,5.0,3.196969696969697,4.106060606060606,0.5204111642700134,0.5941792056655063,66.0,66.0,0.025749423845936023,18.0,True
12,1.0,6.0,3.2872340425531914,3.3138297872340425,0.3205776840943222,0.3624899784347033,188.0,188.0,0.9142741615746947,19.0,False
13,1.0,7.0,3.7282608695652173,3.710144927536232,0.2812301071106063,0.2778070585778019,276.0,276.0,0.9284612911170373,20.0,False
14,1.0,8.0,3.445414847161572,4.117903930131004,0.30886486185920003,0.27659815481176625,229.0,229.0,0.0015781203264942335,21.0,True
15,1.0,9.0,3.5488372093023255,3.2,0.3187994508054526,0.27143303606363883,215.0,215.0,0.10321183240390985,22.0,False
16,1.0,10.0,3.689814814814815,2.3935185185185186,0.3060376899891224,0.2539406411035275,216.0,216.0,4.344984287905878e-10,23.0,True
17,1.0,11.0,3.6435185185185186,3.490740740740741,0.31995691856575464,0.3403071793212308,216.0,216.0,0.5218168655987074,24.0,False
18,1.0,12.0,3.437869822485207,4.3076923076923075,0.3527418599900259,0.35205118867535695,169.0,169.0,0.0007011138754817268,25.0,True
19,2.0,3.0,3.539568345323741,3.179856115107914,0.39078534747123406,0.41464858494793416,139.0,139.0,0.2169948457214928,29.0,False
20,2.0,4.0,3.0,2.5555555555555554,1.0146173495525652,1.0417509421246398,18.0,18.0,0.5531224654756597,30.0,False
21,2.0,5.0,3.5256410256410255,3.641025641025641,0.4900481119168869,0.532880478351157,78.0,78.0,0.7551688434708239,31.0,False
22,2.0,6.0,3.5714285714285716,3.0840336134453783,0.42465022848262907,0.39873955418104745,119.0,119.0,0.1023469058613715,32.0,False
23,2.0,7.0,3.5714285714285716,3.3095238095238093,0.31413606495374774,0.32040571038151366,210.0,210.0,0.2532706679763008,33.0,False
24,2.0,8.0,3.716494845360825,3.597938144329897,0.3208596917661889,0.33174423084791305,194.0,194.0,0.6149100642309364,34.0,False
25,2.0,9.0,3.562753036437247,4.526315789473684,0.2950338822167761,0.2605295770444666,247.0,247.0,2.1258215577976245e-06,35.0,True
26,2.0,10.0,3.6884615384615387,4.196153846153846,0.27707937030898494,0.28451824717611957,260.0,260.0,0.01253076581048806,36.0,True
27,2.0,11.0,3.721774193548387,3.9919354838709675,0.279291329203744,0.2657344370227788,248.0,248.0,0.17020603196090753,37.0,False
28,2.0,12.0,3.4657534246575343,3.278538812785388,0.29730652706840655,0.30154125902310475,219.0,219.0,0.386676294117666,38.0,False
