,pack,pick,treatment_wins,control_wins,treatment_ci,control_ci,treatment_n,control_n,p_value,total_pick,sig
0,0.0,3.0,3.417910447761194,3.487562189054726,0.2992186274866162,0.27235487473630593,201.0,201.0,0.7359884185653838,3.0,False
1,0.0,4.0,3.1666666666666665,1.6666666666666667,1.5529556050032824,1.3066666666666669,6.0,6.0,0.17806898775785768,4.0,False
2,0.0,5.0,3.5294117647058822,4.094117647058823,0.5295407250339059,0.48169267100136004,85.0,85.0,0.12394593493087695,5.0,False
3,0.0,6.0,3.7957317073170733,3.731707317073171,0.2544263470160971,0.24952778481880578,328.0,328.0,0.7248530114898298,6.0,False
4,0.0,7.0,3.5591397849462365,4.234408602150538,0.20440538211158824,0.22476809882842338,465.0,465.0,1.469617021275223e-05,7.0,True
5,0.0,8.0,3.5526992287917736,3.7326478149100257,0.22776425877813916,0.24133035925794982,389.0,389.0,0.28817446768645494,8.0,False
6,0.0,9.0,3.609230769230769,3.0984615384615384,0.2526288874406942,0.22687267337274467,325.0,325.0,0.0033096771758330686,9.0,True
7,0.0,10.0,3.4363636363636365,3.577272727272727,0.30466285947225186,0.3027696673244413,220.0,220.0,0.520561567319485,10.0,False
8,0.0,11.0,3.470873786407767,2.470873786407767,0.31852703309587793,0.35422472576667363,206.0,206.0,4.693793110050093e-05,11.0,True
9,0.0,12.0,3.6442953020134228,2.8187919463087248,0.3924591674074406,0.37240705953845216,149.0,149.0,0.003018463087673681,12.0,True
10,1.0,3.0,3.5454545454545454,3.585858585858586,0.44072233887294,0.3979847202690012,99.0,99.0,0.8940462601234063,16.0,False
11,1.0,4.0,3.9,4.1,1.0044528230256562,0.634316208709488,20.0,20.0,0.7432322137404743,17.0,False
12,1.0,5.0,4.111111111111111,3.1805555555555554,0.5435234777104534,0.47215528845342464,72.0,72.0,0.012385310503735704,18.0,True
13,1.0,6.0,3.5185185185185186,3.265432098765432,0.3526721516758343,0.35207483587893224,162.0,162.0,0.3202792849976572,19.0,False
14,1.0,7.0,3.5140562248995986,3.2248995983935744,0.2870169075754994,0.247089805916929,249.0,249.0,0.13516898292750867,20.0,False
15,1.0,8.0,3.6,3.311627906976744,0.30327870595217393,0.28548399614251047,215.0,215.0,0.17549057697517553,21.0,False
16,1.0,9.0,3.6205357142857144,3.455357142857143,0.2951520542800607,0.2708021943694997,224.0,224.0,0.41938169785968804,22.0,False
17,1.0,10.0,3.797029702970297,2.8415841584158414,0.32707840464284577,0.29228704458135535,202.0,202.0,2.4501518379268562e-05,23.0,True
18,1.0,11.0,3.455,2.905,0.3030683684911698,0.30680347072391667,200.0,200.0,0.0128317514182179,24.0,True
19,1.0,12.0,3.3846153846153846,4.394871794871795,0.3360627173957027,0.31971665271774286,195.0,195.0,2.473029741832467e-05,25.0,True
20,2.0,3.0,3.460431654676259,3.9568345323741005,0.3928299333019772,0.2994487909797207,139.0,139.0,0.04986799980177572,29.0,True
21,2.0,4.0,3.6666666666666665,2.388888888888889,1.1644135105405689,1.2389937820127979,18.0,18.0,0.14996072376524663,30.0,False
22,2.0,5.0,3.0344827586206895,2.7586206896551726,0.49858767929728814,0.5265731310703079,58.0,58.0,0.45744015033688634,31.0,False
23,2.0,6.0,3.437037037037037,2.8814814814814813,0.3741538921680036,0.3698406861344574,135.0,135.0,0.03943228526783815,32.0,True
24,2.0,7.0,3.6210526315789475,3.6157894736842104,0.3437744923794552,0.35483615201650515,190.0,190.0,0.9833524998780354,33.0,False
25,2.0,8.0,3.387978142076503,3.19672131147541,0.33542708632669754,0.29351567868617057,183.0,183.0,0.4008797171633546,34.0,False
26,2.0,9.0,3.410569105691057,3.9634146341463414,0.2891312324675563,0.2857091951615856,246.0,246.0,0.007935315447485793,35.0,True
27,2.0,10.0,3.5261044176706826,3.6265060240963853,0.29023699619981985,0.29766376292206936,249.0,249.0,0.6361789939639482,36.0,False
28,2.0,11.0,3.7340823970037453,3.932584269662921,0.281223176224031,0.2935204791465812,267.0,267.0,0.338946189031764,37.0,False
29,2.0,12.0,3.7413793103448274,3.810344827586207,0.30835918823177383,0.2907927851855562,232.0,232.0,0.7499325719590333,38.0,False
