,pack,pick,treatment_wins,control_wins,treatment_ci,control_ci,treatment_n,control_n,p_value,total_pick,sig
0,0.0,3.0,3.566666666666667,2.888888888888889,0.3213678246322685,0.3435280093477503,180.0,180.0,0.005008344628527856,3.0,True
1,0.0,4.0,4.0,2.0,1.5421197532401085,0.0,7.0,7.0,0.02584520333337365,4.0,True
2,0.0,5.0,3.6666666666666665,3.774193548387097,0.4508270238730839,0.4575450504526129,93.0,93.0,0.7432055503949528,5.0,False
3,0.0,6.0,3.656957928802589,4.048543689320389,0.2513894723900079,0.24885858710837236,309.0,309.0,0.030408379648101294,6.0,True
4,0.0,7.0,3.5564356435643565,3.5485148514851486,0.1984277101206714,0.18375284201965147,505.0,505.0,0.9542338040591638,7.0,False
5,0.0,8.0,3.545238095238095,3.1809523809523808,0.21654878624255516,0.19276837322889967,420.0,420.0,0.013987459396878859,8.0,True
6,0.0,9.0,3.6872964169381106,3.035830618892508,0.2475023027720641,0.24389272005603324,307.0,307.0,0.0002590277608377697,9.0,True
7,0.0,10.0,3.6147186147186146,3.9220779220779223,0.2889499467125652,0.2956153570673418,231.0,231.0,0.14570921611898982,10.0,False
8,0.0,11.0,3.6358381502890174,3.722543352601156,0.322590734763068,0.3637168047215636,173.0,173.0,0.7268844127027109,11.0,False
9,0.0,12.0,3.568,3.824,0.36470749704386396,0.3631602263286782,125.0,125.0,0.33056257964772273,12.0,False
10,1.0,3.0,3.7950819672131146,3.9918032786885247,0.40742901981438284,0.3530591828273886,122.0,122.0,0.4751795443484388,16.0,False
11,1.0,4.0,3.6363636363636362,5.045454545454546,0.898513004822251,0.897881804881461,22.0,22.0,0.03537102220653666,17.0,True
12,1.0,5.0,3.5789473684210527,2.710526315789474,0.5024117788904505,0.4741898120366307,76.0,76.0,0.01487774373150503,18.0,True
13,1.0,6.0,3.1551724137931036,2.8448275862068964,0.3325986166053281,0.3070611552701903,174.0,174.0,0.17990753741387341,19.0,False
14,1.0,7.0,3.003861003861004,3.250965250965251,0.2681787245728918,0.28051006480312335,259.0,259.0,0.21259606752333798,20.0,False
15,1.0,8.0,3.3238866396761133,3.8137651821862346,0.26539943727913407,0.23819964327968512,247.0,247.0,0.0073355378110831395,21.0,True
16,1.0,9.0,3.5135135135135136,3.5765765765765765,0.3041535285849967,0.2873059248109911,222.0,222.0,0.7678091123285318,22.0,False
17,1.0,10.0,3.1608040201005023,2.4673366834170856,0.31362534824869304,0.2997460637842717,199.0,199.0,0.001858906805586579,23.0,True
18,1.0,11.0,3.484375,3.4010416666666665,0.3300620977274415,0.2948893971227399,192.0,192.0,0.7123129134253448,24.0,False
19,1.0,12.0,3.386934673366834,3.3668341708542715,0.2977337666488842,0.309772795428273,199.0,199.0,0.9269873910775228,25.0,False
20,2.0,3.0,3.6606060606060606,3.3393939393939394,0.36080737652589273,0.34305823824157905,165.0,165.0,0.20693130252781416,29.0,False
21,2.0,4.0,3.5,2.85,0.8936713160064115,0.8681366615676905,20.0,20.0,0.3129913530196051,30.0,False
22,2.0,5.0,3.388059701492537,3.074626865671642,0.5653504766889317,0.48844786133611184,67.0,67.0,0.4124165784779785,31.0,False
23,2.0,6.0,3.364406779661017,3.2796610169491527,0.4171353019813312,0.42716759743287486,118.0,118.0,0.781103027017433,32.0,False
24,2.0,7.0,3.2837837837837838,3.734234234234234,0.28220837013877054,0.32696453218032306,222.0,222.0,0.04153279710573806,33.0,True
25,2.0,8.0,3.726775956284153,3.420765027322404,0.33038335212472186,0.32158402340145287,183.0,183.0,0.19411695036737953,34.0,False
26,2.0,9.0,3.304,3.104,0.27872846320820854,0.25736302282899676,250.0,250.0,0.3019749575043152,35.0,False
27,2.0,10.0,3.476394849785408,3.9570815450643777,0.2752562561987519,0.31582847482649923,233.0,233.0,0.02498964541058028,36.0,True
28,2.0,11.0,3.5780590717299576,3.6413502109704643,0.2725841323735424,0.23448257297899364,237.0,237.0,0.7302437642451087,37.0,False
29,2.0,12.0,3.6578947368421053,4.030701754385965,0.28225359256855354,0.27740870838284504,228.0,228.0,0.06549284544090445,38.0,False
