,pack,pick,treatment_wins,control_wins,treatment_ci,control_ci,treatment_n,control_n,p_value,total_pick,sig
0,0.0,3.0,3.754601226993865,3.6748466257668713,0.3529297984903725,0.34576344482455384,163.0,163.0,0.751913181904376,3.0,False
1,0.0,4.0,3.875,3.5,1.5017406567047453,0.6415605972938175,8.0,8.0,0.6595430983477597,4.0,False
2,0.0,5.0,3.329896907216495,2.422680412371134,0.42867761194990023,0.35277737436453455,97.0,97.0,0.0015929916936969844,5.0,True
3,0.0,6.0,3.2962962962962963,3.2222222222222223,0.2439544445384574,0.2325280489230497,297.0,297.0,0.6667779458120745,6.0,False
4,0.0,7.0,3.1944444444444446,3.2291666666666665,0.19735049330943039,0.20557659596684422,432.0,432.0,0.8113057922021654,7.0,False
5,0.0,8.0,3.2553846153846155,2.790769230769231,0.23562486281445633,0.19344939283966697,325.0,325.0,0.0029231242341723673,8.0,True
6,0.0,9.0,3.300724637681159,2.8405797101449277,0.25313889044491655,0.20778108490485417,276.0,276.0,0.006083869058749456,9.0,True
7,0.0,10.0,3.362962962962963,3.6814814814814816,0.26982057018725414,0.2920534725787894,270.0,270.0,0.11697997654215894,10.0,False
8,0.0,11.0,3.292817679558011,1.9116022099447514,0.31008971725552237,0.26699888242567926,181.0,181.0,1.3401307129185737e-10,11.0,True
9,0.0,12.0,3.1635220125786163,2.7169811320754715,0.33905115637487226,0.2787877617900067,159.0,159.0,0.04702339221039523,12.0,True
10,1.0,3.0,3.014705882352941,2.9926470588235294,0.36764283396265285,0.3598839495335578,136.0,136.0,0.9330878750578966,16.0,False
11,1.0,4.0,3.3076923076923075,4.076923076923077,0.8613661366119377,1.1553291802741326,26.0,26.0,0.30049217064563566,17.0,False
12,1.0,5.0,3.1940298507462686,2.7313432835820897,0.4936234724220198,0.4671168704000515,67.0,67.0,0.1843694846156082,18.0,False
13,1.0,6.0,2.9935064935064934,2.616883116883117,0.3202381561245289,0.3469722111858093,154.0,154.0,0.11899455135520551,19.0,False
14,1.0,7.0,3.1593625498007967,3.346613545816733,0.26227687426698054,0.29159229021576405,251.0,251.0,0.34983067942284407,20.0,False
15,1.0,8.0,3.121495327102804,2.7476635514018692,0.3020937588221765,0.28211836300765253,214.0,214.0,0.07700128972285417,21.0,False
16,1.0,9.0,3.0904761904761906,3.357142857142857,0.27836449509922195,0.2964739083113553,210.0,210.0,0.19942587774763884,22.0,False
17,1.0,10.0,3.287671232876712,3.406392694063927,0.2907914621516072,0.31032887789173536,219.0,219.0,0.584552846698086,23.0,False
18,1.0,11.0,3.2844444444444445,3.1244444444444444,0.28448623304146625,0.23499826739576687,225.0,225.0,0.39584674360033534,24.0,False
19,1.0,12.0,2.9469026548672566,3.482300884955752,0.2761431324408467,0.31607984840343295,226.0,226.0,0.012766565235233342,25.0,True
20,2.0,3.0,3.1954022988505746,3.0,0.3469734766730987,0.29631430267376324,174.0,174.0,0.40184183262794637,29.0,False
21,2.0,4.0,2.55,3.0,1.0102234250011493,0.8043670280347608,20.0,20.0,0.4987427294912796,30.0,False
22,2.0,5.0,3.3492063492063493,2.746031746031746,0.5869766749077027,0.5228327095871654,63.0,63.0,0.13512973949735732,31.0,False
23,2.0,6.0,3.1557377049180326,3.3114754098360657,0.38918872840882957,0.38721886327448735,122.0,122.0,0.5787255278098589,32.0,False
24,2.0,7.0,3.1105527638190953,3.185929648241206,0.31621257348699683,0.3175283695711796,199.0,199.0,0.741813819475809,33.0,False
25,2.0,8.0,3.036082474226804,3.329896907216495,0.29992578266521414,0.2923273763778326,194.0,194.0,0.16993060315578248,34.0,False
26,2.0,9.0,3.4136363636363636,2.881818181818182,0.2831282979820825,0.2756465440485946,220.0,220.0,0.008639083328074138,35.0,True
27,2.0,10.0,3.048,2.32,0.27656444344839354,0.23042871307028756,250.0,250.0,8.45681646082745e-05,36.0,True
28,2.0,11.0,3.3694779116465865,3.7269076305220885,0.2819663932118657,0.26436472875081135,249.0,249.0,0.07051183771606839,37.0,False
29,2.0,12.0,3.2248995983935744,4.040160642570281,0.2690271659182975,0.26130774898685544,249.0,249.0,2.4402312618495724e-05,38.0,True
